本地菜品分类,淘点点分类ID
褡裢火烧,50024702
大锅涮菜篇,50024702
大国篇,50024702
大陆美味,50024702
大满足,50024702
点心主食菜,50024702
店长推荐,50024702
定制项,50024702
东北菜系,50024702
东北菜系列,50024702
东北老菜,50024702
东北熏酱系列,50024702
东北压锅,50024702
东北野味,50024702
东北猪肉鲜,50024702
东海野生海鲜,50024702
冻品类,50024702
凍檬,50024702
豆腐,50024702
豆腐菌菇蔬菜,50024702
豆腐篇,50024702
豆制/菌类,50024702
豆制拼盘,50024702
豆制品类,50024702
豆制品系列,50024702
独领风酥,50024702
肚包鸡鸡,50024702
炖炖飘香,50024702
炖品,50024702
炖品系列,50024702
炖烧蒸,50024702
炖盅之精品,50024702
俄式,50024702
鹅锅伴侣,50024702
鹅块锅,50024702
额外添加,50024702
儿童菜单,50024702
儿童餐,50024702
反卷,50024702
飯類,50024702
芬香果汁茶,50024702
粉,50024702
粉（干拌）,50024702
粉类,50024702
粉条,50024702
粉条类（含一元打包费）,50024702
份,50024702
丰富配餐,50024702
丰衣粥食,50024702
风情时蔬,50024702
风味菜,50024702
风味家常,50024702
风味家常菜,50024702
风味类,50024702
风味湘点,50024702
风味小吃（含一元打包费）,50024702
风味小吃（已含1元餐盒费）,50024702
风味小吃类,50024702
风味小蝶类,50024702
风味小食,50024702
风味主食,50024702
蜂蜜,50024702
佛跳墙虾,50024702
福建厦门特色小吃,50024702
附加果肉,50024702
呷霸主食,50024702
嘎嘎香压锅菜,50024702
干贝排骨粥,50024702
干点类,50024702
干粉篇,50024702
干锅、锅仔,50024702
干锅、泡椒系列,50024702
干锅/锅仔/炖菜,50024702
干锅/铁板系列,50024702
干锅?砂煲,50024702
干锅砂锅,50024702
干锅铁板,50024702
干锅铁板类,50024702
港式点心篇,50024702
港式精品茶点（菜价已包含1元打包餐盒费）,50024702
港式烧味,50024702
港式特色山泉腊肠（菜价已包含1元打包餐盒费）,50024702
高蛋白提高免疫力,50024702
高档位菜,50024702
高血脂人群食谱,50024702
宫廷四点,50024702
狗肉类,50024702
顾客最爱,50024702
关东八大炖,50024702
官府菜,50024702
广点系列,50024702
广式卤水,50024702
广味烧腊,50024702
贵州记忆,50024702
贵州三绝+3元餐盒费,50024702
贵州三绝26,50024702
贵州特色小吃,50024702
贵州小吃,50024702
锅,50024702
锅底（必点）,50024702
锅底（已包含1元打包费）,50024702
锅底类,50024702
锅香特色,50024702
锅仔,50024702
锅仔、干锅,50024702
锅仔、铁板（每份含一元打包费）,50024702
锅仔/堡,50024702
锅仔炖菜,50024702
锅仔砂锅,50024702
锅仔砂锅篇,50024702
锅仔铁板,50024702
锅仔铁板系列,50024702
海参,50024702
海河鲜类,50024702
海鲜（菜价已包含1元打包餐盒费）,50024702
海鲜（每份含一元打包费）,50024702
海鲜、水产、肉类,50024702
海鲜/肉类,50024702
海鲜类水饺,50024702
海鲜篇,50024702
海鲜水产,50024702
海鲜粥小吃,50024702
海鲜自选,50024702
海洋篇,50024702
海贼王系列(2个）,50024702
韩国风味,50024702
韩式火锅类,50024702
韩式特色料理,50024702
汉堡单加（含一元打包费）,50024702
汉堡类&肉扒类,50024702
汉拿山好味道,50024702
汉味香锅,50024702
汉味小吃,50024702
杭州名菜,50024702
航海产品,50024702
豪华比萨,50024702
豪尚豪牛排,50024702
合味经典（每份含一元打包费）,50024702
和气便当,50024702
河、海鲜篇,50024702
河海鲜篇,50024702
河海鲜系列（基尾虾按时价）,50024702
河鲜海鲜,50024702
河鲜系列,50024702
荷香笼仔类,50024702
红尘滚滚,50024702
胡同味道,50024702
湖南湘菜,50024702
淮扬川湘篇,50024702
淮扬风味特色家常菜,50024702
淮阳菜,50024702
淮阳菜系,50024702
淮阳小调,50024702
皇家风云榜,50024702
皇家鸡排荟,50024702
黄焖鸡,50024702
黄焖鸡系列,50024702
黄焖牛肉系列,50024702
黄焖排骨系列,50024702
黄焖系列,50024702
烩类,50024702
荤菜/丸类,50024702
荤菜系列（半份）,50024702
火锅底料,50024702
火锅涮品,50024702
火辣湘味,50024702
获奖经典,50024702
鸡煲锅,50024702
鸡翅,50024702
鸡翅/鸡块,50024702
鸡脆骨,50024702
鸡蛋料理,50024702
鸡公煲,50024702
鸡柳,50024702
鸡排,50024702
鸡肉篇,50024702
鸡腿,50024702
鸡鸭,50024702
鸡鸭猪肝,50024702
鸡胗,50024702
加菜,50024702
加菜类,50024702
加料,50024702
加料区（另加只能加2份）,50024702
家常菜（已包含一元打包盒费用）,50024702
家常菜类,50024702
家常菜篇,50024702
家常菜系,50024702
家常菜系列,50024702
家常风味,50024702
家常系列,50024702
家常湘菜,50024702
家禽类,50024702
家乡美食,50024702
煎，炸类,50024702
煎扒,50024702
煎饺,50024702
煎焗美点,50024702
煎焗篇,50024702
健将主食,50024702
江。河。湖。海,50024702
江西原汁原味罐,50024702
讲究主打,50024702
降糖降压,50024702
酱味拼盘,50024702
